Vardas         Pavarde             ND1            ND2            ND3            ND4            ND5            ND6            ND7            ND8            ND9            ND10           ND11           ND12           ND13           ND14           ND15           Egz.           
Vardas783      Pavarde783          2              10             4              9              1              8              1              9              7              4              2              2              2              1              8              3              
Vardas784      Pavarde784          5              2              7              3              10             3              3              5              3              3              1              10             7              7              4              1              
Vardas785      Pavarde785          8              8              8              8              8              5              10             1              10             3              5              10             4              10             3              9              
Vardas786      Pavarde786          5              1              2              6              6              3              9              8              2              3              9              10             6              10             8              7              
Vardas787      Pavarde787          8              3              10             1              9              9              8              7              6              4              7              8              1              10             1              10             
Vardas788      Pavarde788          4              2              6              5              1              7              3              5              5              5              9              3              7              9              4              10             
Vardas789      Pavarde789          8              5              5              4              1              9              9              5              2              1              5              9              4              9              3              2              
Vardas790      Pavarde790          2              8              4              10             7              3              6              1              1              2              3              4              8              1              3              8              
Vardas791      Pavarde791          9              2              9              3              4              4              10             6              3              4              3              1              1              10             10             2              
Vardas792      Pavarde792          8              3              2              1              9              9              7              4              5              1              7              7              10             5              10             4              
Vardas793      Pavarde793          8              5              2              4              4              8              4              6              6              1              4              10             6              1              7              4              
Vardas794      Pavarde794          6              1              9              7              8              10             8              10             7              2              1              2              6              10             5              1              
Vardas795      Pavarde795          10             3              2              10             2              8              8              1              4              10             5              1              2              10             3              2              
Vardas796      Pavarde796          8              10             4              1              10             4              4              1              9              7              9              4              2              4              1              5              
Vardas797      Pavarde797          2              5              8              7              10             6              8              1              9              10             5              5              4              5              7              7              
Vardas798      Pavarde798          3              1              4              7              8              9              2              4              3              4              9              7              4              4              1              5              
Vardas799      Pavarde799          2              6              7              3              10             8              7              6              7              6              8              3              2              9              7              1              
Vardas800      Pavarde800          1              7              4              6              6              9              4              9              1              1              1              5              9              4              1              8              
Vardas801      Pavarde801          5              6              3              10             3              4              8              2              1              8              7              9              6              3              9              10             
Vardas802      Pavarde802          2              4              8              10             8              5              3              9              7              7              6              7              5              5              6              4              
Vardas803      Pavarde803          5              2              1              3              10             7              9              4              3              10             1              4              4              5              10             10             
Vardas804      Pavarde804          1              6              8              10             8              5              1              8              1              2              10             8              10             8              7              3              
Vardas805      Pavarde805          2              5              8              9              4              2              7              1              4              8              2              8              3              6              4              7              
Vardas806      Pavarde806          10             10             2              8              4              6              4              7              4              6              3              8              9              5              10             4              
Vardas807      Pavarde807          1              2              10             7              1              5              9              7              9              2              5              9              10             3              6              7              
Vardas808      Pavarde808          4              6              7              1              6              1              10             7              3              9              10             5              6              4              3              1              
Vardas809      Pavarde809          8              7              3              8              3              1              3              3              10             4              3              2              4              5              3              9              
Vardas810      Pavarde810          7              10             5              9              7              1              1              5              2              3              6              5              1              6              10             7              
Vardas811      Pavarde811          1              7              1              10             8              1              3              9              6              5              10             5              1              3              3              2              
Vardas812      Pavarde812          5              5              10             5              9              5              7              3              8              7              5              6              3              6              1              6              
Vardas813      Pavarde813          1              3              6              5              7              8              8              9              6              7              6              4              6              3              3              9              
Vardas814      Pavarde814          5              5              10             5              9              9              4              7              6              10             7              4              1              2              1              4              
Vardas815      Pavarde815          9              6              3              10             6              2              2              8              1              6              6              3              10             6              2              10             
Vardas816      Pavarde816          1              7              10             10             3              4              6              1              10             1              4              10             5              3              9              4              
Vardas817      Pavarde817          6              2              4              1              3              7              7              4              1              7              4              10             1              1              6              8              
Vardas818      Pavarde818          10             6              3              10             6              4              9              2              9              4              2              5              10             4              7              2              
Vardas819      Pavarde819          1              9              4              5              10             6              3              1              10             6              7              2              7              2              8              9              
Vardas820      Pavarde820          9              2              10             1              2              7              9              5              6              7              2              4              9              9              2              8              
Vardas821      Pavarde821          8              9              1              4              4              4              2              6              5              5              1              9              4              10             3              6              
Vardas822      Pavarde822          1              6              1              3              4              6              8              3              1              8              1              5              7              2              3              7              
Vardas823      Pavarde823          1              8              6              2              3              10             8              3              10             10             1              2              6              2              3              5              
Vardas824      Pavarde824          6              2              6              8              9              9              5              9              8              9              7              7              8              9              2              4              
Vardas825      Pavarde825          8              4              10             1              8              10             3              4              4              4              3              6              8              1              9              10             
Vardas826      Pavarde826          7              3              1              6              10             5              10             4              6              1              5              10             3              8              10             7              
Vardas827      Pavarde827          9              10             8              3              9              6              8              1              2              10             1              7              5              1              9              2              
Vardas828      Pavarde828          9              9              3              1              8              9              5              9              6              6              5              2              8              1              2              5              
Vardas829      Pavarde829          10             7              3              2              10             4              4              1              3              10             3              5              5              5              6              4              
Vardas830      Pavarde830          6              7              2              10             5              3              5              9              2              6              1              10             5              8              2              5              
Vardas831      Pavarde831          7              9              10             5              7              6              9              2              7              10             9              10             9              6              3              9              
Vardas832      Pavarde832          10             7              7              1              2              10             10             1              3              6              4              8              1              3              7              7              
Vardas833      Pavarde833          10             8              6              6              5              9              5              6              6              3              9              1              9              5              4              2              
Vardas834      Pavarde834          1              5              10             6              4              9              10             8              8              10             1              5              2              8              8              2              
Vardas835      Pavarde835          10             8              3              10             5              1              7              7              2              6              8              5              7              4              5              7              
Vardas836      Pavarde836          7              4              9              1              2              1              6              10             4              8              6              5              2              10             8              3              
Vardas837      Pavarde837          1              7              7              6              8              8              10             8              4              7              6              1              8              5              6              9              
Vardas838      Pavarde838          8              8              4              3              10             5              2              10             8              3              6              9              1              10             6              3              
Vardas839      Pavarde839          9              10             4              1              5              7              4              1              8              7              4              2              2              5              7              3              
Vardas840      Pavarde840          5              7              8              4              5              4              5              1              6              8              10             10             7              5              1              2              
Vardas841      Pavarde841          10             4              8              2              10             8              3              3              5              1              10             2              4              2              8              9              
Vardas842      Pavarde842          9              6              5              10             4              8              9              5              9              1              10             3              8              3              10             1              
Vardas843      Pavarde843          1              3              10             8              6              3              8              5              10             3              3              1              5              2              10             4              
Vardas844      Pavarde844          1              7              9              9              2              4              9              3              4              8              5              6              3              9              2              2              
Vardas845      Pavarde845          6              8              7              6              9              5              7              8              8              8              4              9              6              2              7              1              
Vardas846      Pavarde846          5              6              9              4              4              7              4              4              7              2              4              2              6              2              10             7              
Vardas847      Pavarde847          10             9              8              10             9              9              1              7              1              8              5              4              4              1              3              1              
Vardas848      Pavarde848          5              9              10             1              7              8              2              3              9              8              5              8              9              1              3              7              
Vardas849      Pavarde849          1              1              3              7              1              2              4              1              3              4              10             1              1              5              4              5              
Vardas850      Pavarde850          1              10             1              8              9              7              4              1              5              7              7              4              9              7              10             3              
Vardas851      Pavarde851          9              9              9              10             7              4              2              4              4              10             5              1              7              6              8              5              
Vardas852      Pavarde852          2              8              4              2              9              1              5              5              7              2              3              4              3              5              2              2              
Vardas853      Pavarde853          2              5              4              9              6              1              1              1              9              10             4              8              5              8              3              2              
Vardas854      Pavarde854          10             5              5              5              10             9              2              2              7              1              2              1              4              7              3              6              
Vardas855      Pavarde855          4              2              1              2              2              2              4              5              1              7              3              2              2              10             6              10             
Vardas856      Pavarde856          9              8              5              6              10             1              7              4              4              5              2              5              8              4              4              5              
Vardas857      Pavarde857          6              7              9              8              9              9              8              5              3              4              7              5              8              9              8              10             
Vardas858      Pavarde858          4              7              10             8              10             1              8              10             6              8              1              7              10             3              3              1              
Vardas859      Pavarde859          5              2              1              8              4              3              9              6              4              7              9              1              1              1              2              4              
Vardas860      Pavarde860          10             6              6              9              9              5              6              6              3              8              7              3              4              5              3              9              
Vardas861      Pavarde861          8              10             6              8              9              4              4              4              8              7              1              8              2              1              4              7              
Vardas862      Pavarde862          4              2              7              4              1              8              9              2              3              9              2              2              1              8              1              8              
Vardas863      Pavarde863          2              10             10             9              4              10             8              3              4              1              3              9              3              2              5              3              
Vardas864      Pavarde864          3              6              3              5              6              6              10             8              3              3              5              8              10             9              7              6              
Vardas865      Pavarde865          7              8              10             1              10             9              9              8              7              6              5              7              9              9              6              6              
Vardas866      Pavarde866          4              4              5              8              3              5              6              7              8              6              9              10             3              10             2              3              
Vardas867      Pavarde867          6              9              6              9              7              9              2              7              3              3              7              8              1              7              3              1              
Vardas868      Pavarde868          4              9              1              4              10             2              2              10             1              8              3              8              6              7              3              2              
Vardas869      Pavarde869          4              2              5              4              3              9              8              9              2              4              1              5              8              10             2              8              
Vardas870      Pavarde870          3              1              3              8              6              8              6              2              10             6              4              1              5              1              10             4              
Vardas871      Pavarde871          1              5              3              2              1              8              4              1              5              7              9              10             9              7              2              9              
Vardas872      Pavarde872          3              6              8              10             10             2              8              9              9              3              10             9              3              3              1              4              
Vardas873      Pavarde873          8              10             7              7              10             9              8              8              8              7              1              2              3              8              4              7              
Vardas874      Pavarde874          4              3              2              4              9              10             9              5              7              7              6              9              3              10             9              2              
Vardas875      Pavarde875          9              1              7              7              2              4              2              1              7              3              9              2              6              8              2              2              
Vardas876      Pavarde876          6              9              7              1              3              4              1              6              1              6              1              4              2              10             10             6              
Vardas877      Pavarde877          5              2              5              10             10             9              7              1              8              3              6              3              6              6              9              8              
Vardas878      Pavarde878          2              3              6              9              10             6              10             10             10             7              3              8              3              9              6              1              
Vardas879      Pavarde879          6              4              1              6              6              8              9              3              6              4              8              6              10             3              3              2              
Vardas880      Pavarde880          9              2              4              1              6              2              7              4              5              3              8              9              5              7              8              1              
Vardas881      Pavarde881          3              4              7              2              10             2              1              1              10             4              8              7              10             1              7              4              
Vardas882      Pavarde882          4              9              6              8              7              10             5              9              7              8              3              9              10             10             1              8              
Vardas883      Pavarde883          9              3              6              5              8              5              2              4              4              2              6              5              4              2              2              7              
Vardas884      Pavarde884          4              4              10             3              8              2              3              6              6              2              3              6              1              8              1              7              
Vardas885      Pavarde885          5              7              9              1              4              8              2              10             7              5              5              6              4              1              2              6              
Vardas886      Pavarde886          6              8              8              2              9              6              2              6              1              1              6              8              4              2              2              7              
Vardas887      Pavarde887          6              1              5              9              7              10             9              8              5              5              4              3              9              5              3              9              
Vardas888      Pavarde888          8              7              2              1              9              10             7              8              4              2              5              4              8              6              10             10             
Vardas889      Pavarde889          9              9              3              1              1              6              5              2              6              5              5              1              1              4              2              8              
Vardas890      Pavarde890          2              8              7              9              10             8              1              5              8              3              6              10             6              8              7              1              
Vardas891      Pavarde891          2              6              5              9              3              1              5              9              7              2              10             2              8              4              10             3              
Vardas892      Pavarde892          2              9              4              3              7              2              1              5              5              4              7              4              5              9              6              6              
Vardas893      Pavarde893          4              7              8              2              5              8              8              4              7              10             10             2              5              1              3              7              
Vardas894      Pavarde894          3              5              2              7              4              7              7              6              4              6              2              4              1              2              10             4              
Vardas895      Pavarde895          3              6              2              2              4              8              2              8              3              10             7              3              6              7              4              10             
Vardas896      Pavarde896          10             1              3              3              3              3              9              9              9              10             4              4              6              10             3              5              
Vardas897      Pavarde897          7              3              2              9              5              5              10             6              5              9              1              1              2              2              5              1              
Vardas898      Pavarde898          9              5              9              1              7              1              3              9              1              3              2              7              9              5              6              7              
Vardas899      Pavarde899          1              9              4              2              8              8              3              1              7              4              2              7              5              4              9              8              
Vardas900      Pavarde900          2              10             4              3              7              7              9              8              1              1              6              2              5              8              5              2              
Vardas901      Pavarde901          9              9              10             10             9              8              10             4              9              6              1              6              8              7              6              9              
Vardas902      Pavarde902          4              1              8              4              2              8              7              4              4              7              10             3              5              4              3              9              
Vardas903      Pavarde903          6              1              9              1              4              6              8              4              5              5              4              9              2              9              8              6              
Vardas904      Pavarde904          3              8              1              8              3              5              4              7              10             5              10             3              5              9              9              1              
Vardas905      Pavarde905          5              8              8              6              8              7              8              5              2              4              7              5              8              4              8              3              
Vardas906      Pavarde906          5              8              7              4              8              8              8              2              5              8              2              4              7              2              10             5              
Vardas907      Pavarde907          1              1              10             6              4              9              2              5              8              3              9              9              6              2              4              3              
Vardas908      Pavarde908          8              4              4              3              1              1              4              9              5              5              6              1              2              8              1              2              
Vardas909      Pavarde909          9              8              6              1              6              4              7              8              2              5              3              10             3              5              2              10             
Vardas910      Pavarde910          2              10             10             6              2              2              1              3              2              1              7              4              5              7              5              1              
Vardas911      Pavarde911          4              4              6              3              1              1              6              8              2              8              2              5              1              5              9              10             
Vardas912      Pavarde912          7              3              3              4              4              10             3              6              4              9              9              3              6              7              2              5              
Vardas913      Pavarde913          9              4              1              9              3              2              10             8              7              10             8              3              2              6              3              8              
Vardas914      Pavarde914          10             10             6              10             9              6              8              6              5              1              9              3              6              5              9              7              
Vardas915      Pavarde915          4              9              9              7              5              4              1              10             7              9              5              10             10             6              10             7              
Vardas916      Pavarde916          7              3              4              3              3              4              7              10             4              5              9              5              8              2              6              7              
Vardas917      Pavarde917          7              9              7              5              2              8              5              9              8              4              5              9              5              8              10             10             
Vardas918      Pavarde918          1              7              10             10             1              1              4              9              6              2              8              8              1              2              6              1              
Vardas919      Pavarde919          7              10             5              6              9              2              4              4              9              7              3              10             1              4              3              10             
Vardas920      Pavarde920          4              9              4              3              7              9              4              2              2              3              2              4              6              8              4              4              
Vardas921      Pavarde921          3              6              4              8              2              5              1              3              8              2              9              4              3              6              1              3              
Vardas922      Pavarde922          10             6              10             6              7              5              8              5              1              7              10             5              8              3              10             9              
Vardas923      Pavarde923          10             6              3              8              9              5              8              3              5              4              7              4              5              8              10             2              
Vardas924      Pavarde924          5              10             9              6              1              3              5              9              5              6              3              8              1              9              6              2              
Vardas925      Pavarde925          9              10             6              2              3              9              6              5              4              2              4              6              7              10             5              2              
Vardas926      Pavarde926          1              3              3              4              6              9              4              6              9              5              9              5              10             5              9              2              
Vardas927      Pavarde927          3              9              5              8              4              6              8              8              3              1              4              2              6              3              5              5              
Vardas928      Pavarde928          6              1              9              10             6              4              5              6              9              10             8              9              6              4              9              3              
Vardas929      Pavarde929          9              7              3              9              4              8              8              10             1              7              5              2              7              9              9              7              
Vardas930      Pavarde930          3              2              3              3              4              8              10             4              2              2              3              1              2              1              1              9              
Vardas931      Pavarde931          6              7              7              8              7              7              5              5              6              1              8              5              5              8              4              3              
Vardas932      Pavarde932          2              4              5              9              6              7              1              8              1              6              2              1              5              3              1              7              
Vardas933      Pavarde933          3              6              2              10             1              7              9              5              8              7              3              6              8              4              3              8              
Vardas934      Pavarde934          7              4              3              7              6              5              3              1              7              10             8              1              4              7              3              6              
Vardas935      Pavarde935          10             3              6              4              9              4              8              4              2              7              9              8              8              8              8              10             
Vardas936      Pavarde936          8              9              1              4              7              5              4              2              2              3              1              2              8              4              3              4              
Vardas937      Pavarde937          3              8              10             8              9              7              10             4              5              10             5              6              1              3              8              5              
Vardas938      Pavarde938          6              10             10             10             6              1              9              2              9              5              7              3              6              3              1              3              
Vardas939      Pavarde939          5              3              4              4              3              8              4              9              10             4              1              9              9              10             9              6              
Vardas940      Pavarde940          10             7              7              9              10             10             1              9              3              8              7              3              4              9              2              1              
Vardas941      Pavarde941          5              6              5              9              8              3              10             1              5              10             1              9              9              5              10             5              
Vardas942      Pavarde942          2              2              7              4              9              2              9              10             7              2              4              4              1              8              7              6              
Vardas943      Pavarde943          4              1              3              2              5              10             4              3              6              1              10             10             3              5              4              4              
Vardas944      Pavarde944          9              3              3              10             3              6              7              6              4              7              2              6              6              1              6              5              
Vardas945      Pavarde945          2              1              10             4              3              7              2              5              10             1              7              7              4              6              3              5              
Vardas946      Pavarde946          6              4              8              7              8              9              9              4              2              8              1              8              9              10             7              7              
